threshold,n,pos_rate,test_pos_rate,risk_rate_among_test_pos,tp_rate,fp_rate
0,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
0.01,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
0.02,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
0.03,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
0.04,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
0.05,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
0.06,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
0.07,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
0.08,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
0.09,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
0.1,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
0.11,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
0.12,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
0.13,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
0.14,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
0.15,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
0.16,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
0.17,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
0.18,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
0.19,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
0.2,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
0.21,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
0.22,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
0.23,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
0.24,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
0.25,750,0.2201127546956282,0.15333333333333332,0.34678953538698654,0.0531743954260046,0.10015893790732873
