variable,label,n,threshold,pos_rate,tp_rate,fp_rate,harm,net_benefit
all,Treat All,750,0.86,0.14,0.14,0.86,0,-5.142857142857142
all,Treat All,750,0.87,0.14,0.14,0.86,0,-5.615384615384615
all,Treat All,750,0.88,0.14,0.14,0.86,0,-6.166666666666667
all,Treat All,750,0.89,0.14,0.14,0.86,0,-6.818181818181819
all,Treat All,750,0.9,0.14,0.14,0.86,0,-7.600000000000001
all,Treat All,750,0.91,0.14,0.14,0.86,0,-8.555555555555557
all,Treat All,750,0.92,0.14,0.14,0.86,0,-9.750000000000005
all,Treat All,750,0.93,0.14,0.14,0.86,0,-11.285714285714294
all,Treat All,750,0.9400000000000001,0.14,0.14,0.86,0,-13.333333333333346
all,Treat All,750,0.9500000000000001,0.14,0.14,0.86,0,-16.200000000000024
all,Treat All,750,0.96,0.14,0.14,0.86,0,-20.499999999999982
all,Treat All,750,0.97,0.14,0.14,0.86,0,-27.666666666666643
all,Treat All,750,0.98,0.14,0.14,0.86,0,-41.999999999999964
all,Treat All,750,0.99,0.14,0.14,0.86,0,-84.99999999999993
none,Treat None,750,0,0.14,0,0,0,0
none,Treat None,750,0.01,0.14,0,0,0,0
none,Treat None,750,0.02,0.14,0,0,0,0
none,Treat None,750,0.03,0.14,0,0,0,0
none,Treat None,750,0.04,0.14,0,0,0,0
none,Treat None,750,0.05,0.14,0,0,0,0
none,Treat None,750,0.06,0.14,0,0,0,0
none,Treat None,750,0.07,0.14,0,0,0,0
none,Treat None,750,0.08,0.14,0,0,0,0
none,Treat None,750,0.09,0.14,0,0,0,0
none,Treat None,750,0.1,0.14,0,0,0,0
none,Treat None,750,0.11,0.14,0,0,0,0
none,Treat None,750,0.12,0.14,0,0,0,0
none,Treat None,750,0.13,0.14,0,0,0,0
none,Treat None,750,0.14,0.14,0,0,0,0
none,Treat None,750,0.15,0.14,0,0,0,0
none,Treat None,750,0.16,0.14,0,0,0,0
none,Treat None,750,0.17,0.14,0,0,0,0
none,Treat None,750,0.18,0.14,0,0,0,0
none,Treat None,750,0.19,0.14,0,0,0,0
none,Treat None,750,0.2,0.14,0,0,0,0
none,Treat None,750,0.21,0.14,0,0,0,0
none,Treat None,750,0.22,0.14,0,0,0,0
none,Treat None,750,0.23,0.14,0,0,0,0
none,Treat None,750,0.24,0.14,0,0,0,0
none,Treat None,750,0.25,0.14,0,0,0,0
none,Treat None,750,0.26,0.14,0,0,0,0
none,Treat None,750,0.27,0.14,0,0,0,0
none,Treat None,750,0.28,0.14,0,0,0,0
none,Treat None,750,0.29,0.14,0,0,0,0
none,Treat None,750,0.3,0.14,0,0,0,0
none,Treat None,750,0.31,0.14,0,0,0,0
none,Treat None,750,0.32,0.14,0,0,0,0
none,Treat None,750,0.33,0.14,0,0,0,0
none,Treat None,750,0.34,0.14,0,0,0,0
none,Treat None,750,0.35000000000000003,0.14,0,0,0,0
none,Treat None,750,0.36,0.14,0,0,0,0
none,Treat None,750,0.37,0.14,0,0,0,0
none,Treat None,750,0.38,0.14,0,0,0,0
none,Treat None,750,0.39,0.14,0,0,0,0
none,Treat None,750,0.4,0.14,0,0,0,0
none,Treat None,750,0.41000000000000003,0.14,0,0,0,0
none,Treat None,750,0.42,0.14,0,0,0,0
none,Treat None,750,0.43,0.14,0,0,0,0
none,Treat None,750,0.44,0.14,0,0,0,0
none,Treat None,750,0.45,0.14,0,0,0,0
none,Treat None,750,0.46,0.14,0,0,0,0
none,Treat None,750,0.47000000000000003,0.14,0,0,0,0
none,Treat None,750,0.48,0.14,0,0,0,0
none,Treat None,750,0.49,0.14,0,0,0,0
none,Treat None,750,0.5,0.14,0,0,0,0
none,Treat None,750,0.51,0.14,0,0,0,0
none,Treat None,750,0.52,0.14,0,0,0,0
none,Treat None,750,0.53,0.14,0,0,0,0
none,Treat None,750,0.54,0.14,0,0,0,0
none,Treat None,750,0.55,0.14,0,0,0,0
none,Treat None,750,0.56,0.14,0,0,0,0
none,Treat None,750,0.5700000000000001,0.14,0,0,0,0
none,Treat None,750,0.58,0.14,0,0,0,0
none,Treat None,750,0.59,0.14,0,0,0,0
none,Treat None,750,0.6,0.14,0,0,0,0
none,Treat None,750,0.61,0.14,0,0,0,0
none,Treat None,750,0.62,0.14,0,0,0,0
none,Treat None,750,0.63,0.14,0,0,0,0
none,Treat None,750,0.64,0.14,0,0,0,0
none,Treat None,750,0.65,0.14,0,0,0,0
none,Treat None,750,0.66,0.14,0,0,0,0
none,Treat None,750,0.67,0.14,0,0,0,0
none,Treat None,750,0.68,0.14,0,0,0,0
none,Treat None,750,0.6900000000000001,0.14,0,0,0,0
none,Treat None,750,0.7000000000000001,0.14,0,0,0,0
none,Treat None,750,0.71,0.14,0,0,0,0
none,Treat None,750,0.72,0.14,0,0,0,0
none,Treat None,750,0.73,0.14,0,0,0,0
none,Treat None,750,0.74,0.14,0,0,0,0
none,Treat None,750,0.75,0.14,0,0,0,0
none,Treat None,750,0.76,0.14,0,0,0,0
none,Treat None,750,0.77,0.14,0,0,0,0
none,Treat None,750,0.78,0.14,0,0,0,0
none,Treat None,750,0.79,0.14,0,0,0,0
none,Treat None,750,0.8,0.14,0,0,0,0
none,Treat None,750,0.81,0.14,0,0,0,0
none,Treat None,750,0.8200000000000001,0.14,0,0,0,0
none,Treat None,750,0.8300000000000001,0.14,0,0,0,0
none,Treat None,750,0.84,0.14,0,0,0,0
none,Treat None,750,0.85,0.14,0,0,0,0
none,Treat None,750,0.86,0.14,0,0,0,0
none,Treat None,750,0.87,0.14,0,0,0,0
none,Treat None,750,0.88,0.14,0,0,0,0
none,Treat None,750,0.89,0.14,0,0,0,0
none,Treat None,750,0.9,0.14,0,0,0,0
