variable,label,harm,threshold,prevalence,n,test_pos_rate,tp_rate,fp_rate,net_benefit
all,Treat All,0,0.43,0.14,750,1,0.14,0.86,-0.5087719298245613
all,Treat All,0,0.44,0.14,750,1,0.14,0.86,-0.5357142857142857
all,Treat All,0,0.45,0.14,750,1,0.14,0.86,-0.5636363636363636
all,Treat All,0,0.46,0.14,750,1,0.14,0.86,-0.5925925925925926
all,Treat All,0,0.47000000000000003,0.14,750,1,0.14,0.86,-0.6226415094339622
all,Treat All,0,0.48,0.14,750,1,0.14,0.86,-0.6538461538461537
all,Treat All,0,0.49,0.14,750,1,0.14,0.86,-0.6862745098039215
all,Treat All,0,0.5,0.14,750,1,0.14,0.86,-0.72
all,Treat All,0,0.51,0.14,750,1,0.14,0.86,-0.7551020408163266
all,Treat All,0,0.52,0.14,750,1,0.14,0.86,-0.7916666666666667
all,Treat All,0,0.53,0.14,750,1,0.14,0.86,-0.8297872340425533
all,Treat All,0,0.54,0.14,750,1,0.14,0.86,-0.8695652173913043
all,Treat All,0,0.55,0.14,750,1,0.14,0.86,-0.9111111111111113
all,Treat All,0,0.56,0.14,750,1,0.14,0.86,-0.9545454545454547
all,Treat All,0,0.5700000000000001,0.14,750,1,0.14,0.86,-1.0000000000000004
all,Treat All,0,0.58,0.14,750,1,0.14,0.86,-1.0476190476190474
all,Treat All,0,0.59,0.14,750,1,0.14,0.86,-1.0975609756097557
all,Treat All,0,0.6,0.14,750,1,0.14,0.86,-1.15
all,Treat All,0,0.61,0.14,750,1,0.14,0.86,-1.2051282051282053
all,Treat All,0,0.62,0.14,750,1,0.14,0.86,-1.263157894736842
all,Treat All,0,0.63,0.14,750,1,0.14,0.86,-1.3243243243243241
all,Treat All,0,0.64,0.14,750,1,0.14,0.86,-1.3888888888888888
all,Treat All,0,0.65,0.14,750,1,0.14,0.86,-1.4571428571428573
all,Treat All,0,0.66,0.14,750,1,0.14,0.86,-1.5294117647058827
all,Treat All,0,0.67,0.14,750,1,0.14,0.86,-1.6060606060606064
all,Treat All,0,0.68,0.14,750,1,0.14,0.86,-1.6875000000000004
all,Treat All,0,0.6900000000000001,0.14,750,1,0.14,0.86,-1.7741935483870974
all,Treat All,0,0.7000000000000001,0.14,750,1,0.14,0.86,-1.8666666666666671
all,Treat All,0,0.71,0.14,750,1,0.14,0.86,-1.96551724137931
all,Treat All,0,0.72,0.14,750,1,0.14,0.86,-2.071428571428571
all,Treat All,0,0.73,0.14,750,1,0.14,0.86,-2.1851851851851847
all,Treat All,0,0.74,0.14,750,1,0.14,0.86,-2.307692307692307
all,Treat All,0,0.75,0.14,750,1,0.14,0.86,-2.44
all,Treat All,0,0.76,0.14,750,1,0.14,0.86,-2.5833333333333335
all,Treat All,0,0.77,0.14,750,1,0.14,0.86,-2.739130434782609
all,Treat All,0,0.78,0.14,750,1,0.14,0.86,-2.909090909090909
all,Treat All,0,0.79,0.14,750,1,0.14,0.86,-3.095238095238096
all,Treat All,0,0.8,0.14,750,1,0.14,0.86,-3.3000000000000007
all,Treat All,0,0.81,0.14,750,1,0.14,0.86,-3.526315789473685
all,Treat All,0,0.8200000000000001,0.14,750,1,0.14,0.86,-3.777777777777779
all,Treat All,0,0.8300000000000001,0.14,750,1,0.14,0.86,-4.058823529411767
all,Treat All,0,0.84,0.14,750,1,0.14,0.86,-4.374999999999999
all,Treat All,0,0.85,0.14,750,1,0.14,0.86,-4.733333333333333
all,Treat All,0,0.86,0.14,750,1,0.14,0.86,-5.142857142857142
all,Treat All,0,0.87,0.14,750,1,0.14,0.86,-5.615384615384615
all,Treat All,0,0.88,0.14,750,1,0.14,0.86,-6.166666666666667
all,Treat All,0,0.89,0.14,750,1,0.14,0.86,-6.818181818181819
all,Treat All,0,0.9,0.14,750,1,0.14,0.86,-7.600000000000001
all,Treat All,0,0.91,0.14,750,1,0.14,0.86,-8.555555555555557
all,Treat All,0,0.92,0.14,750,1,0.14,0.86,-9.750000000000005
all,Treat All,0,0.93,0.14,750,1,0.14,0.86,-11.285714285714294
all,Treat All,0,0.9400000000000001,0.14,750,1,0.14,0.86,-13.333333333333346
all,Treat All,0,0.9500000000000001,0.14,750,1,0.14,0.86,-16.200000000000024
all,Treat All,0,0.96,0.14,750,1,0.14,0.86,-20.499999999999982
all,Treat All,0,0.97,0.14,750,1,0.14,0.86,-27.666666666666643
all,Treat All,0,0.98,0.14,750,1,0.14,0.86,-41.999999999999964
all,Treat All,0,0.99,0.14,750,1,0.14,0.86,-84.99999999999993
none,Treat None,0,1e-9,0.14,750,0,0,0,0
none,Treat None,0,0.01,0.14,750,0,0,0,0
none,Treat None,0,0.02,0.14,750,0,0,0,0
none,Treat None,0,0.03,0.14,750,0,0,0,0
none,Treat None,0,0.04,0.14,750,0,0,0,0
none,Treat None,0,0.05,0.14,750,0,0,0,0
none,Treat None,0,0.06,0.14,750,0,0,0,0
none,Treat None,0,0.07,0.14,750,0,0,0,0
none,Treat None,0,0.08,0.14,750,0,0,0,0
none,Treat None,0,0.09,0.14,750,0,0,0,0
none,Treat None,0,0.1,0.14,750,0,0,0,0
none,Treat None,0,0.11,0.14,750,0,0,0,0
none,Treat None,0,0.12,0.14,750,0,0,0,0
none,Treat None,0,0.13,0.14,750,0,0,0,0
none,Treat None,0,0.14,0.14,750,0,0,0,0
none,Treat None,0,0.15,0.14,750,0,0,0,0
none,Treat None,0,0.16,0.14,750,0,0,0,0
none,Treat None,0,0.17,0.14,750,0,0,0,0
none,Treat None,0,0.18,0.14,750,0,0,0,0
none,Treat None,0,0.19,0.14,750,0,0,0,0
none,Treat None,0,0.2,0.14,750,0,0,0,0
none,Treat None,0,0.21,0.14,750,0,0,0,0
none,Treat None,0,0.22,0.14,750,0,0,0,0
none,Treat None,0,0.23,0.14,750,0,0,0,0
none,Treat None,0,0.24,0.14,750,0,0,0,0
none,Treat None,0,0.25,0.14,750,0,0,0,0
none,Treat None,0,0.26,0.14,750,0,0,0,0
none,Treat None,0,0.27,0.14,750,0,0,0,0
none,Treat None,0,0.28,0.14,750,0,0,0,0
none,Treat None,0,0.29,0.14,750,0,0,0,0
none,Treat None,0,0.3,0.14,750,0,0,0,0
none,Treat None,0,0.31,0.14,750,0,0,0,0
none,Treat None,0,0.32,0.14,750,0,0,0,0
none,Treat None,0,0.33,0.14,750,0,0,0,0
none,Treat None,0,0.34,0.14,750,0,0,0,0
none,Treat None,0,0.35000000000000003,0.14,750,0,0,0,0
none,Treat None,0,0.36,0.14,750,0,0,0,0
none,Treat None,0,0.37,0.14,750,0,0,0,0
none,Treat None,0,0.38,0.14,750,0,0,0,0
none,Treat None,0,0.39,0.14,750,0,0,0,0
none,Treat None,0,0.4,0.14,750,0,0,0,0
none,Treat None,0,0.41000000000000003,0.14,750,0,0,0,0
none,Treat None,0,0.42,0.14,750,0,0,0,0
none,Treat None,0,0.43,0.14,750,0,0,0,0
none,Treat None,0,0.44,0.14,750,0,0,0,0
none,Treat None,0,0.45,0.14,750,0,0,0,0
none,Treat None,0,0.46,0.14,750,0,0,0,0
none,Treat None,0,0.47000000000000003,0.14,750,0,0,0,0
none,Treat None,0,0.48,0.14,750,0,0,0,0
none,Treat None,0,0.49,0.14,750,0,0,0,0
none,Treat None,0,0.5,0.14,750,0,0,0,0
none,Treat None,0,0.51,0.14,750,0,0,0,0
none,Treat None,0,0.52,0.14,750,0,0,0,0
none,Treat None,0,0.53,0.14,750,0,0,0,0
none,Treat None,0,0.54,0.14,750,0,0,0,0
none,Treat None,0,0.55,0.14,750,0,0,0,0
none,Treat None,0,0.56,0.14,750,0,0,0,0
none,Treat None,0,0.5700000000000001,0.14,750,0,0,0,0
none,Treat None,0,0.58,0.14,750,0,0,0,0
none,Treat None,0,0.59,0.14,750,0,0,0,0
none,Treat None,0,0.6,0.14,750,0,0,0,0
none,Treat None,0,0.61,0.14,750,0,0,0,0
none,Treat None,0,0.62,0.14,750,0,0,0,0
none,Treat None,0,0.63,0.14,750,0,0,0,0
none,Treat None,0,0.64,0.14,750,0,0,0,0
none,Treat None,0,0.65,0.14,750,0,0,0,0
none,Treat None,0,0.66,0.14,750,0,0,0,0
none,Treat None,0,0.67,0.14,750,0,0,0,0
none,Treat None,0,0.68,0.14,750,0,0,0,0
none,Treat None,0,0.6900000000000001,0.14,750,0,0,0,0
none,Treat None,0,0.7000000000000001,0.14,750,0,0,0,0
none,Treat None,0,0.71,0.14,750,0,0,0,0
none,Treat None,0,0.72,0.14,750,0,0,0,0
none,Treat None,0,0.73,0.14,750,0,0,0,0
none,Treat None,0,0.74,0.14,750,0,0,0,0
none,Treat None,0,0.75,0.14,750,0,0,0,0
none,Treat None,0,0.76,0.14,750,0,0,0,0
none,Treat None,0,0.77,0.14,750,0,0,0,0
none,Treat None,0,0.78,0.14,750,0,0,0,0
none,Treat None,0,0.79,0.14,750,0,0,0,0
none,Treat None,0,0.8,0.14,750,0,0,0,0
none,Treat None,0,0.81,0.14,750,0,0,0,0
none,Treat None,0,0.8200000000000001,0.14,750,0,0,0,0
none,Treat None,0,0.8300000000000001,0.14,750,0,0,0,0
none,Treat None,0,0.84,0.14,750,0,0,0,0
none,Treat None,0,0.85,0.14,750,0,0,0,0
none,Treat None,0,0.86,0.14,750,0,0,0,0
none,Treat None,0,0.87,0.14,750,0,0,0,0
none,Treat None,0,0.88,0.14,750,0,0,0,0
none,Treat None,0,0.89,0.14,750,0,0,0,0
none,Treat None,0,0.9,0.14,750,0,0,0,0
none,Treat None,0,0.91,0.14,750,0,0,0,0
none,Treat None,0,0.92,0.14,750,0,0,0,0
none,Treat None,0,0.93,0.14,750,0,0,0,0
none,Treat None,0,0.9400000000000001,0.14,750,0,0,0,0
none,Treat None,0,0.9500000000000001,0.14,750,0,0,0,0
none,Treat None,0,0.96,0.14,750,0,0,0,0
none,Treat None,0,0.97,0.14,750,0,0,0,0
none,Treat None,0,0.98,0.14,750,0,0,0,0
none,Treat None,0,0.99,0.14,750,0,0,0,0
cancerpredmarker,Prediction Model,0,1e-9,0.14,750,1,0.14,0.86,0.13999999914000003
cancerpredmarker,Prediction Model,0,0.01,0.14,750,0.8893333333333333,0.14,0.7493333333333333,0.13243097643097645
cancerpredmarker,Prediction Model,0,0.02,0.14,750,0.7586666666666667,0.1386666666666667,0.62,0.12601360544217688
cancerpredmarker,Prediction Model,0,0.03,0.14,750,0.664,0.13466666666666668,0.5293333333333333,0.11829553264604813
cancerpredmarker,Prediction Model,0,0.04,0.14,750,0.6106666666666667,0.132,0.4786666666666667,0.11205555555555556
cancerpredmarker,Prediction Model,0,0.05,0.14,750,0.5546666666666666,0.128,0.42666666666666664,0.1055438596491228
cancerpredmarker,Prediction Model,0,0.06,0.14,750,0.49466666666666664,0.128,0.36666666666666664,0.10459574468085107
cancerpredmarker,Prediction Model,0,0.07,0.14,750,0.4573333333333333,0.12266666666666667,0.33466666666666667,0.09747670250896057
cancerpredmarker,Prediction Model,0,0.08,0.14,750,0.42533333333333334,0.12133333333333335,0.304,0.0948985507246377
cancerpredmarker,Prediction Model,0,0.09,0.14,750,0.404,0.11733333333333335,0.2866666666666666,0.088981684981685
cancerpredmarker,Prediction Model,0,0.1,0.14,750,0.37333333333333335,0.11600000000000002,0.25733333333333336,0.08740740740740742
cancerpredmarker,Prediction Model,0,0.11,0.14,750,0.35333333333333333,0.11333333333333334,0.24,0.08367041198501873
cancerpredmarker,Prediction Model,0,0.12,0.14,750,0.3373333333333333,0.11066666666666668,0.22666666666666668,0.07975757575757576
cancerpredmarker,Prediction Model,0,0.13,0.14,750,0.31866666666666665,0.11066666666666668,0.208,0.07958620689655173
cancerpredmarker,Prediction Model,0,0.14,0.14,750,0.3,0.11066666666666668,0.18933333333333333,0.07984496124031008
cancerpredmarker,Prediction Model,0,0.15,0.14,750,0.28,0.10933333333333334,0.17066666666666666,0.07921568627450981
cancerpredmarker,Prediction Model,0,0.16,0.14,750,0.268,0.10800000000000001,0.16,0.07752380952380954
cancerpredmarker,Prediction Model,0,0.17,0.14,750,0.25333333333333335,0.10400000000000001,0.14933333333333332,0.0734136546184739
cancerpredmarker,Prediction Model,0,0.18,0.14,750,0.24933333333333332,0.10400000000000001,0.14533333333333334,0.07209756097560976
cancerpredmarker,Prediction Model,0,0.19,0.14,750,0.23866666666666667,0.10400000000000001,0.13466666666666668,0.07241152263374487
cancerpredmarker,Prediction Model,0,0.2,0.14,750,0.23066666666666666,0.1,0.13066666666666665,0.06733333333333334
cancerpredmarker,Prediction Model,0,0.21,0.14,750,0.22133333333333333,0.1,0.12133333333333335,0.06774683544303797
cancerpredmarker,Prediction Model,0,0.22,0.14,750,0.21466666666666667,0.09733333333333334,0.11733333333333333,0.06423931623931625
cancerpredmarker,Prediction Model,0,0.23,0.14,750,0.20133333333333334,0.09733333333333334,0.104,0.06626839826839828
cancerpredmarker,Prediction Model,0,0.24,0.14,750,0.19466666666666665,0.09600000000000002,0.09866666666666667,0.06484210526315791
cancerpredmarker,Prediction Model,0,0.25,0.14,750,0.192,0.09600000000000002,0.096,0.06400000000000002
cancerpredmarker,Prediction Model,0,0.26,0.14,750,0.18266666666666667,0.09200000000000001,0.09066666666666666,0.06014414414414416
cancerpredmarker,Prediction Model,0,0.27,0.14,750,0.176,0.08933333333333333,0.08666666666666667,0.057278538812785385
cancerpredmarker,Prediction Model,0,0.28,0.14,750,0.16133333333333333,0.08666666666666668,0.07466666666666666,0.05762962962962964
cancerpredmarker,Prediction Model,0,0.29,0.14,750,0.15333333333333332,0.084,0.06933333333333333,0.05568075117370892
cancerpredmarker,Prediction Model,0,0.3,0.14,750,0.148,0.08266666666666668,0.06533333333333333,0.05466666666666668
cancerpredmarker,Prediction Model,0,0.31,0.14,750,0.14666666666666667,0.08133333333333334,0.06533333333333333,0.05198067632850242
cancerpredmarker,Prediction Model,0,0.32,0.14,750,0.14266666666666666,0.07866666666666668,0.064,0.04854901960784314
cancerpredmarker,Prediction Model,0,0.33,0.14,750,0.13866666666666666,0.07866666666666668,0.06,0.04911442786069652
cancerpredmarker,Prediction Model,0,0.34,0.14,750,0.12933333333333333,0.07733333333333335,0.052,0.05054545454545456
cancerpredmarker,Prediction Model,0,0.35000000000000003,0.14,750,0.124,0.076,0.048,0.050153846153846146
cancerpredmarker,Prediction Model,0,0.36,0.14,750,0.11733333333333333,0.07333333333333335,0.044,0.04858333333333335
cancerpredmarker,Prediction Model,0,0.37,0.14,750,0.112,0.06933333333333334,0.042666666666666665,0.04427513227513229
cancerpredmarker,Prediction Model,0,0.38,0.14,750,0.11066666666666666,0.068,0.042666666666666665,0.04184946236559141
cancerpredmarker,Prediction Model,0,0.39,0.14,750,0.10266666666666667,0.064,0.03866666666666667,0.03927868852459016
cancerpredmarker,Prediction Model,0,0.4,0.14,750,0.09866666666666667,0.06266666666666668,0.036,0.038666666666666676
cancerpredmarker,Prediction Model,0,0.41000000000000003,0.14,750,0.09466666666666666,0.060000000000000005,0.034666666666666665,0.03590960451977401
cancerpredmarker,Prediction Model,0,0.42,0.14,750,0.09066666666666667,0.05600000000000001,0.034666666666666665,0.030896551724137945
cancerpredmarker,Prediction Model,0,0.43,0.14,750,0.09066666666666667,0.05600000000000001,0.034666666666666665,0.029847953216374283
cancerpredmarker,Prediction Model,0,0.44,0.14,750,0.08666666666666667,0.05466666666666667,0.032,0.029523809523809525
cancerpredmarker,Prediction Model,0,0.45,0.14,750,0.084,0.05333333333333334,0.030666666666666665,0.02824242424242425
cancerpredmarker,Prediction Model,0,0.46,0.14,750,0.07866666666666666,0.05066666666666667,0.028,0.02681481481481482
cancerpredmarker,Prediction Model,0,0.47000000000000003,0.14,750,0.07333333333333333,0.04666666666666667,0.026666666666666665,0.023018867924528306
cancerpredmarker,Prediction Model,0,0.48,0.14,750,0.072,0.04533333333333334,0.026666666666666665,0.020717948717948725
cancerpredmarker,Prediction Model,0,0.49,0.14,750,0.068,0.044000000000000004,0.024,0.02094117647058824
cancerpredmarker,Prediction Model,0,0.5,0.14,750,0.06666666666666667,0.044000000000000004,0.022666666666666665,0.02133333333333334
cancerpredmarker,Prediction Model,0,0.51,0.14,750,0.064,0.04133333333333334,0.022666666666666665,0.017741496598639463
cancerpredmarker,Prediction Model,0,0.52,0.14,750,0.06133333333333333,0.038666666666666676,0.022666666666666665,0.01411111111111112
cancerpredmarker,Prediction Model,0,0.53,0.14,750,0.058666666666666666,0.036,0.022666666666666665,0.010439716312056733
cancerpredmarker,Prediction Model,0,0.54,0.14,750,0.056,0.036,0.02,0.012521739130434778
cancerpredmarker,Prediction Model,0,0.55,0.14,750,0.05466666666666667,0.036,0.018666666666666665,0.013185185185185178
cancerpredmarker,Prediction Model,0,0.56,0.14,750,0.05333333333333334,0.036,0.017333333333333333,0.013939393939393935
cancerpredmarker,Prediction Model,0,0.5700000000000001,0.14,750,0.050666666666666665,0.03466666666666667,0.016,0.01345736434108527
cancerpredmarker,Prediction Model,0,0.58,0.14,750,0.04666666666666667,0.03466666666666667,0.012,0.018095238095238102
cancerpredmarker,Prediction Model,0,0.59,0.14,750,0.04133333333333333,0.032,0.009333333333333332,0.018569105691056915
cancerpredmarker,Prediction Model,0,0.6,0.14,750,0.04,0.03066666666666667,0.009333333333333332,0.01666666666666667
cancerpredmarker,Prediction Model,0,0.61,0.14,750,0.037333333333333336,0.03066666666666667,0.006666666666666666,0.02023931623931624
cancerpredmarker,Prediction Model,0,0.62,0.14,750,0.03333333333333333,0.02666666666666667,0.006666666666666666,0.015789473684210527
cancerpredmarker,Prediction Model,0,0.63,0.14,750,0.032,0.02666666666666667,0.005333333333333333,0.017585585585585588
cancerpredmarker,Prediction Model,0,0.64,0.14,750,0.032,0.02666666666666667,0.005333333333333333,0.017185185185185185
cancerpredmarker,Prediction Model,0,0.65,0.14,750,0.030666666666666665,0.025333333333333336,0.005333333333333333,0.01542857142857143
cancerpredmarker,Prediction Model,0,0.66,0.14,750,0.028,0.024000000000000004,0.004,0.016235294117647063
cancerpredmarker,Prediction Model,0,0.67,0.14,750,0.02666666666666667,0.02266666666666667,0.004,0.014545454545454545
cancerpredmarker,Prediction Model,0,0.68,0.14,750,0.02666666666666667,0.02266666666666667,0.004,0.014166666666666666
cancerpredmarker,Prediction Model,0,0.6900000000000001,0.14,750,0.02666666666666667,0.02266666666666667,0.004,0.013763440860215052
cancerpredmarker,Prediction Model,0,0.7000000000000001,0.14,750,0.025333333333333333,0.021333333333333336,0.004,0.012
cancerpredmarker,Prediction Model,0,0.71,0.14,750,0.024,0.02,0.004,0.010206896551724139
cancerpredmarker,Prediction Model,0,0.72,0.14,750,0.024,0.02,0.004,0.009714285714285715
cancerpredmarker,Prediction Model,0,0.73,0.14,750,0.02266666666666667,0.018666666666666668,0.004,0.007851851851851855
cancerpredmarker,Prediction Model,0,0.74,0.14,750,0.021333333333333333,0.017333333333333336,0.004,0.005948717948717952
cancerpredmarker,Prediction Model,0,0.75,0.14,750,0.018666666666666668,0.016,0.0026666666666666666,0.008
cancerpredmarker,Prediction Model,0,0.76,0.14,750,0.018666666666666668,0.016,0.0026666666666666666,0.007555555555555555
cancerpredmarker,Prediction Model,0,0.77,0.14,750,0.017333333333333333,0.014666666666666668,0.0026666666666666666,0.0057391304347826095
cancerpredmarker,Prediction Model,0,0.78,0.14,750,0.017333333333333333,0.014666666666666668,0.0026666666666666666,0.005212121212121213
cancerpredmarker,Prediction Model,0,0.79,0.14,750,0.016,0.013333333333333334,0.0026666666666666666,0.0033015873015873
cancerpredmarker,Prediction Model,0,0.8,0.14,750,0.014666666666666666,0.012000000000000002,0.0026666666666666666,0.001333333333333334
cancerpredmarker,Prediction Model,0,0.81,0.14,750,0.013333333333333334,0.010666666666666668,0.0026666666666666666,-7.017543859649134e-4
cancerpredmarker,Prediction Model,0,0.8200000000000001,0.14,750,0.013333333333333334,0.010666666666666668,0.0026666666666666666,-0.0014814814814814847
cancerpredmarker,Prediction Model,0,0.8300000000000001,0.14,750,0.013333333333333334,0.010666666666666668,0.0026666666666666666,-0.0023529411764705924
cancerpredmarker,Prediction Model,0,0.84,0.14,750,0.013333333333333334,0.010666666666666668,0.0026666666666666666,-0.0033333333333333288
cancerpredmarker,Prediction Model,0,0.85,0.14,750,0.013333333333333334,0.010666666666666668,0.0026666666666666666,-0.004444444444444442
cancerpredmarker,Prediction Model,0,0.86,0.14,750,0.010666666666666666,0.008,0.0026666666666666666,-0.008380952380952378
cancerpredmarker,Prediction Model,0,0.87,0.14,750,0.010666666666666666,0.008,0.0026666666666666666,-0.009846153846153845
cancerpredmarker,Prediction Model,0,0.88,0.14,750,0.010666666666666666,0.008,0.0026666666666666666,-0.011555555555555555
cancerpredmarker,Prediction Model,0,0.89,0.14,750,0.010666666666666666,0.008,0.0026666666666666666,-0.013575757575757578
cancerpredmarker,Prediction Model,0,0.9,0.14,750,0.009333333333333334,0.006666666666666667,0.0026666666666666666,-0.017333333333333336
cancerpredmarker,Prediction Model,0,0.91,0.14,750,0.006666666666666667,0.005333333333333334,0.0013333333333333333,-0.008148148148148151
cancerpredmarker,Prediction Model,0,0.92,0.14,750,0.005333333333333333,0.004,0.0013333333333333333,-0.011333333333333343
cancerpredmarker,Prediction Model,0,0.93,0.14,750,0.004,0.002666666666666667,0.0013333333333333333,-0.01504761904761906
cancerpredmarker,Prediction Model,0,0.9400000000000001,0.14,750,0.004,0.002666666666666667,0.0013333333333333333,-0.01822222222222224
cancerpredmarker,Prediction Model,0,0.9500000000000001,0.14,750,0.0026666666666666666,0.002666666666666667,0,0.002666666666666667
cancerpredmarker,Prediction Model,0,0.96,0.14,750,0.0013333333333333333,0.0013333333333333335,0,0.0013333333333333335
cancerpredmarker,Prediction Model,0,0.97,0.14,750,0.0013333333333333333,0.0013333333333333335,0,0.0013333333333333335
cancerpredmarker,Prediction Model,0,0.98,0.14,750,0.0013333333333333333,0.0013333333333333335,0,0.0013333333333333335
cancerpredmarker,Prediction Model,0,0.99,0.14,750,0.0013333333333333333,0.0013333333333333335,0,0.0013333333333333335
marker,Biomarker,0,1e-9,0.14,750,1,0.14,0.86,0.13999999914000003
marker,Biomarker,0,0.01,0.14,750,1,0.14,0.86,0.13131313131313133
marker,Biomarker,0,0.02,0.14,750,1,0.14,0.86,0.12244897959183675
marker,Biomarker,0,0.03,0.14,750,1,0.14,0.86,0.11340206185567012
marker,Biomarker,0,0.04,0.14,750,1,0.14,0.86,0.10416666666666669
marker,Biomarker,0,0.05,0.14,750,1,0.14,0.86,0.09473684210526317
marker,Biomarker,0,0.06,0.14,750,1,0.14,0.86,0.08510638297872342
marker,Biomarker,0,0.07,0.14,750,0.8906666666666667,0.132,0.7586666666666666,0.07489605734767024
marker,Biomarker,0,0.08,0.14,750,0.7266666666666667,0.11866666666666667,0.608,0.06579710144927536
marker,Biomarker,0,0.09,0.14,750,0.5773333333333334,0.10933333333333334,0.468,0.06304761904761905
marker,Biomarker,0,0.1,0.14,750,0.4786666666666667,0.10400000000000001,0.37466666666666665,0.06237037037037038
marker,Biomarker,0,0.11,0.14,750,0.4106666666666667,0.09733333333333334,0.3133333333333333,0.05860674157303372
marker,Biomarker,0,0.12,0.14,750,0.34933333333333333,0.09200000000000001,0.25733333333333336,0.05690909090909092
marker,Biomarker,0,0.13,0.14,750,0.31733333333333336,0.09066666666666667,0.22666666666666668,0.056796934865900386
marker,Biomarker,0,0.14,0.14,750,0.2866666666666667,0.08933333333333333,0.19733333333333333,0.05720930232558139
marker,Biomarker,0,0.15,0.14,750,0.26,0.07866666666666668,0.18133333333333332,0.046666666666666676
marker,Biomarker,0,0.16,0.14,750,0.23333333333333334,0.07466666666666667,0.15866666666666668,0.044444444444444446
marker,Biomarker,0,0.17,0.14,750,0.21333333333333335,0.072,0.14133333333333334,0.04305220883534136
marker,Biomarker,0,0.18,0.14,750,0.18133333333333335,0.06133333333333334,0.12,0.034991869918699195
marker,Biomarker,0,0.19,0.14,750,0.17066666666666666,0.060000000000000005,0.11066666666666668,0.034041152263374494
marker,Biomarker,0,0.2,0.14,750,0.15733333333333333,0.05466666666666667,0.10266666666666667,0.029
marker,Biomarker,0,0.21,0.14,750,0.15333333333333332,0.052000000000000005,0.10133333333333333,0.025063291139240513
marker,Biomarker,0,0.22,0.14,750,0.13866666666666666,0.04533333333333334,0.09333333333333332,0.019008547008547014
