variable,label,harm,threshold,prevalence,n,test_pos_rate,tp_rate,fp_rate,net_benefit
all,Treat All,0,1e-9,0.5,750,1,0.5,0.5,0.4999999995
all,Treat All,0,0.01,0.5,750,1,0.5,0.5,0.494949494949495
all,Treat All,0,0.02,0.5,750,1,0.5,0.5,0.4897959183673469
all,Treat All,0,0.03,0.5,750,1,0.5,0.5,0.4845360824742268
all,Treat All,0,0.04,0.5,750,1,0.5,0.5,0.4791666666666667
all,Treat All,0,0.05,0.5,750,1,0.5,0.5,0.47368421052631576
all,Treat All,0,0.06,0.5,750,1,0.5,0.5,0.46808510638297873
all,Treat All,0,0.07,0.5,750,1,0.5,0.5,0.46236559139784944
all,Treat All,0,0.08,0.5,750,1,0.5,0.5,0.4565217391304348
all,Treat All,0,0.09,0.5,750,1,0.5,0.5,0.45054945054945056
all,Treat All,0,0.1,0.5,750,1,0.5,0.5,0.4444444444444444
all,Treat All,0,0.11,0.5,750,1,0.5,0.5,0.43820224719101125
all,Treat All,0,0.12,0.5,750,1,0.5,0.5,0.4318181818181818
all,Treat All,0,0.13,0.5,750,1,0.5,0.5,0.42528735632183906
all,Treat All,0,0.14,0.5,750,1,0.5,0.5,0.41860465116279066
all,Treat All,0,0.15,0.5,750,1,0.5,0.5,0.4117647058823529
all,Treat All,0,0.16,0.5,750,1,0.5,0.5,0.40476190476190477
all,Treat All,0,0.17,0.5,750,1,0.5,0.5,0.39759036144578314
all,Treat All,0,0.18,0.5,750,1,0.5,0.5,0.3902439024390244
all,Treat All,0,0.19,0.5,750,1,0.5,0.5,0.3827160493827161
all,Treat All,0,0.2,0.5,750,1,0.5,0.5,0.375
all,Treat All,0,0.21,0.5,750,1,0.5,0.5,0.3670886075949367
all,Treat All,0,0.22,0.5,750,1,0.5,0.5,0.358974358974359
all,Treat All,0,0.23,0.5,750,1,0.5,0.5,0.35064935064935066
all,Treat All,0,0.24,0.5,750,1,0.5,0.5,0.34210526315789475
all,Treat All,0,0.25,0.5,750,1,0.5,0.5,0.33333333333333337
all,Treat All,0,0.26,0.5,750,1,0.5,0.5,0.32432432432432434
all,Treat All,0,0.27,0.5,750,1,0.5,0.5,0.3150684931506849
all,Treat All,0,0.28,0.5,750,1,0.5,0.5,0.3055555555555555
all,Treat All,0,0.29,0.5,750,1,0.5,0.5,0.29577464788732394
all,Treat All,0,0.3,0.5,750,1,0.5,0.5,0.2857142857142857
all,Treat All,0,0.31,0.5,750,1,0.5,0.5,0.2753623188405797
all,Treat All,0,0.32,0.5,750,1,0.5,0.5,0.2647058823529411
